"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U4","TPD2E001DRLR","Top","DRL0005A_L","61.1000","5.5000","90","Low-Capacitance + / - 15 kV ESD-Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 5-pin SOT (DRL), Green (RoHS & no Sb/Br)"
"U3","TPD2E001DRLR","Top","DRL0005A_L","92.7000","47.9000","270","Low-Capacitance + / - 15 kV ESD-Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 5-pin SOT (DRL), Green (RoHS & no Sb/Br)"
"R1","47","Top","FP-RC0603-0_55-MFG","55.4000","25.2000","0",""
"Q2","NTRV4101PT1G","Top","ONSC-SOT-23-3-318-08_V","98.4000","11.0000","90","Trench Power MOSFET, -20 V, Single P-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"D4","MBR120VLSFT1G","Top","ONSC-SOD-123FL-2-498-01_V","103.2000","11.7000","90","Schottky Power Rectifier, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"R22","47","Top","FP-RC0603-0_55-MFG","94.5000","7.3000","0",""
"C20","100n","Top","FP-GRM15-MFG","76.5000","17.9000","270","CAP CER 0.1UF 16V X7R 0402"
"C19","100u","BottomLayer","FP-CL32-IPC_C","68.4000","45.8000","270","Cap Ceramic 100uF 10V X5R  20% SMD 1210 +85 C Embossed T/R"
"C18","100u","BottomLayer","FP-CL32-IPC_C","64.8000","45.8000","270","Cap Ceramic 100uF 10V X5R  20% SMD 1210 +85 C Embossed T/R"
"C6","10u","Top","FP-CL21-IPC_C","94.5000","27.8000","0","CL21 Series 0805 10uF 10V  20% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"U7","TLV2474AID","Top","D0014A_N","76.5000","23.5000","90","Quad Low-Power Rail-to-Rail Input / Output Operational Amplifier, 2.7 to 6 V, -40 to 125 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)"
"U6","TPS61023DRLR","Top","FP-DRL0006A-MFG","94.4500","25.0000","90","FINISH GOODS FOR TPS61023"
"U5","LM66100DCKT","Top","FP-DCK0006A-IPC_C","83.4480","43.0000","180","IC OR CTRLR IDEAL DIODE SC70-6"
"U2","LM66100DCKT","Top","FP-DCK0006A-IPC_C","83.4480","46.0000","180","IC OR CTRLR IDEAL DIODE SC70-6"
"U1","TLV76733DRVR","Top","FP-DRV0006A-IPC_C","91.7500","42.7500","0","VOLTAGE COMPARATOR"
"SW1","430152070826","Top","430152070826","72.2500","4.5000","180","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 500000Cycles 2.55N SMD Reel"
"R21","1k","Top","RESC2013X60X35ML10T20","85.7500","32.0500","90","Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R20","2k","Top","RESC2013X60X35ML10T20","88.0000","32.0500","90",""
"R19","0","BottomLayer","FP-RC2512-0_65-IPC_C","73.2000","33.7000","270","RES SMD 0 OHM JUMPER 1W 2512"
"R18","0","BottomLayer","FP-RC2512-0_65-IPC_C","79.4000","33.7020","270","RES SMD 0 OHM JUMPER 1W 2512"
"R17","0","BottomLayer","FP-RC2512-0_65-IPC_C","79.5000","13.3000","90","RES SMD 0 OHM JUMPER 1W 2512"
"R16","0","BottomLayer","FP-RC2512-0_65-IPC_C","73.3000","13.3020","90","RES SMD 0 OHM JUMPER 1W 2512"
"R15","100k","Top","BOUR-3214W_V","73.4000","32.4000","0","3214 - 5-Turn Trimpot(R) Trimming Potentiometer, 100 KOhm, +/- 10%, 0.25 W, -65 to 150 degC, RoHS, Tape and Reel"
"R14","100k","Top","BOUR-3214W_V","79.5500","32.4000","0","3214 - 5-Turn Trimpot(R) Trimming Potentiometer, 100 KOhm, +/- 10%, 0.25 W, -65 to 150 degC, RoHS, Tape and Reel"
"R13","100k","Top","BOUR-3214W_V","79.7000","14.6000","0","3214 - 5-Turn Trimpot(R) Trimming Potentiometer, 100 KOhm, +/- 10%, 0.25 W, -65 to 150 degC, RoHS, Tape and Reel"
"R12","100k","Top","BOUR-3214W_V","73.5000","14.6000","0","3214 - 5-Turn Trimpot(R) Trimming Potentiometer, 100 KOhm, +/- 10%, 0.25 W, -65 to 150 degC, RoHS, Tape and Reel"
"R11","10k","BottomLayer","RESC2013X60X35NL10T20","49.0000","45.0000","270","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R10","10k","BottomLayer","RESC2013X60X35NL10T20","51.2500","44.0000","90","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R9","0","Top","RESC2013X60X35ML10T20","65.4000","6.7000","180","Chip Resistor, 0 Ohm, Jumper, +/- 5%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R8","100k","BottomLayer","FP-RC0805-0_6-IPC_C","100.5000","20.7980","90","RES 100K OHM 1% 1/8W 0805"
"R7","453k","Top","RESC2013X60X35NL10T20","91.2000","22.2500","180",""
"R6","10k","Top","RESC2013X60X35NL10T20","58.7500","36.2500","90","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R5","150","Top","RESC1608X55X25ML10T15","55.2500","21.0000","180","Chip Resistor, 150 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R4","100k","Top","FP-RC0805-0_6-IPC_C","91.2000","20.0000","180","RES 100K OHM 1% 1/8W 0805"
"R3","100k","BottomLayer","FP-RC0805-0_6-IPC_C","100.5000","27.3000","0","RES 100K OHM 1% 1/8W 0805"
"R2","100k","Top","FP-RC0805-0_6-IPC_C","83.4480","40.2500","180","RES 100K OHM 1% 1/8W 0805"
"Q1","FDN337N","BottomLayer","FP-527AG-MFG","100.5000","24.3000","270","MOSFET N-CH 30V 2.2A SSOT3"
"MD1","ESP32-C3-MINI-1-N4","Top","FP-ESP32-C3-MINI-1-N4-MFG","55.6000","43.9000","0","Multiprotocol Modules SMD module, ESP32-C3FN4, PCB antenna, -40 C +85 C"
"L1","2n2","Top","FP-LQW15AN_80-MFG","93.5000","45.4780","270","Wire Wound RF Inductor 2.2nH  0.1nH 2530mA 0.022O 0402 (1005)"
"J1","105017-0001","Top","USB-MICRO-B_V","92.6000","52.0000","180","Micro-USB B Receptacle, Right Angle, Bottom Mount, Surface Mount, with Solder Tabs, -30 to 85 degC, 5-Pin USB, RoHS, Tape and Reel"
"D1","MBR120VLSFT1G","Top","ONSC-SOD-123FL-2-498-01_V","90.3650","45.5000","180","Schottky Power Rectifier, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"C17","100n","Top","FP-GRM15-MFG","86.9000","34.7000","180","CAP CER 0.1UF 16V X7R 0402"
"C16","47p","Top","FP-C0805C-DN-MFG","73.3500","28.5000","0","CAP CER 47PF 50V C0G/NP0 0805"
"C15","47p","Top","FP-C0805C-DN-MFG","79.6000","28.5000","180","CAP CER 47PF 50V C0G/NP0 0805"
"C14","47p","Top","FP-C0805C-DN-MFG","79.6000","18.5000","180","CAP CER 47PF 50V C0G/NP0 0805"
"C13","47p","Top","FP-C0805C-DN-MFG","73.4000","18.5000","0","CAP CER 47PF 50V C0G/NP0 0805"
"C12","100n","BottomLayer","FP-GRM15-MFG","50.5000","46.7500","90","CAP CER 0.1UF 16V X7R 0402"
"C11","10u","BottomLayer","FP-GRM21B-0_1-IPC_C","52.5000","47.2500","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 16V"
"C10","10u","Top","FP-GRM21B-0_1-IPC_C","95.2000","21.2500","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 16V"
"C9","100n","Top","FP-GRM15-MFG","66.7000","4.9000","270","CAP CER 0.1UF 16V X7R 0402"
"C8","1u","BottomLayer","CAPC2013X135X45LL10T25","52.0000","41.5000","0",""
"C7","1p","Top","FP-GJM155-0_05-IPC_B","91.9500","24.2500","0","Multi-Layer Ceramic Capacitor 1pF C0G   0.1pF 0402 Paper T/R"
"C5","100n","Top","FP-GRM15-MFG","95.5000","47.7280","0","CAP CER 0.1UF 16V X7R 0402"
"C4","10u","Top","FP-CL21-IPC_C","88.2280","42.7500","270","CL21 Series 0805 10uF 10V  20% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C3","10u","Top","FP-CL21-IPC_C","95.0000","42.7280","0","CL21 Series 0805 10uF 10V  20% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C2","100n","Top","FP-GRM15-MFG","95.5000","44.7280","0","CAP CER 0.1UF 16V X7R 0402"
"C1","100n","Top","FP-GRM15-MFG","95.5000","46.2280","0","CAP CER 0.1UF 16V X7R 0402"
